filename,annot
rh.Schaefer2018_400Parcels_7Networks_order.annot.ply,rh.Schaefer2018_400Parcels_7Networks_order.annot
rh.inflated_roi.0001.ply,
rh.inflated_roi.0002.ply,7Networks_RH_Vis_1
rh.inflated_roi.0003.ply,7Networks_RH_Vis_2
rh.inflated_roi.0004.ply,7Networks_RH_Vis_3
rh.inflated_roi.0005.ply,7Networks_RH_Vis_4
rh.inflated_roi.0006.ply,7Networks_RH_Vis_5
rh.inflated_roi.0007.ply,7Networks_RH_Vis_6
rh.inflated_roi.0008.ply,7Networks_RH_Vis_7
rh.inflated_roi.0009.ply,7Networks_RH_Vis_8
rh.inflated_roi.0010.ply,7Networks_RH_Vis_9
rh.inflated_roi.0011.ply,7Networks_RH_Vis_10
rh.inflated_roi.0012.ply,7Networks_RH_Vis_11
rh.inflated_roi.0013.ply,7Networks_RH_Vis_12
rh.inflated_roi.0014.ply,7Networks_RH_Vis_13
rh.inflated_roi.0015.ply,7Networks_RH_Vis_14
rh.inflated_roi.0016.ply,7Networks_RH_Vis_15
rh.inflated_roi.0017.ply,7Networks_RH_Vis_16
rh.inflated_roi.0018.ply,7Networks_RH_Vis_17
rh.inflated_roi.0019.ply,7Networks_RH_Vis_18
rh.inflated_roi.0020.ply,7Networks_RH_Vis_19
rh.inflated_roi.0021.ply,7Networks_RH_Vis_20
rh.inflated_roi.0022.ply,7Networks_RH_Vis_21
rh.inflated_roi.0023.ply,7Networks_RH_Vis_22
rh.inflated_roi.0024.ply,7Networks_RH_Vis_23
rh.inflated_roi.0025.ply,7Networks_RH_Vis_24
rh.inflated_roi.0026.ply,7Networks_RH_Vis_25
rh.inflated_roi.0027.ply,7Networks_RH_Vis_26
rh.inflated_roi.0028.ply,7Networks_RH_Vis_27
rh.inflated_roi.0029.ply,7Networks_RH_Vis_28
rh.inflated_roi.0030.ply,7Networks_RH_Vis_29
rh.inflated_roi.0031.ply,7Networks_RH_Vis_30
rh.inflated_roi.0032.ply,7Networks_RH_SomMot_1
rh.inflated_roi.0033.ply,7Networks_RH_SomMot_2
rh.inflated_roi.0034.ply,7Networks_RH_SomMot_3
rh.inflated_roi.0035.ply,7Networks_RH_SomMot_4
rh.inflated_roi.0036.ply,7Networks_RH_SomMot_5
rh.inflated_roi.0037.ply,7Networks_RH_SomMot_6
rh.inflated_roi.0038.ply,7Networks_RH_SomMot_7
rh.inflated_roi.0039.ply,7Networks_RH_SomMot_8
rh.inflated_roi.0040.ply,7Networks_RH_SomMot_9
rh.inflated_roi.0041.ply,7Networks_RH_SomMot_10
rh.inflated_roi.0042.ply,7Networks_RH_SomMot_11
rh.inflated_roi.0043.ply,7Networks_RH_SomMot_12
rh.inflated_roi.0044.ply,7Networks_RH_SomMot_13
rh.inflated_roi.0045.ply,7Networks_RH_SomMot_14
