filename,annot
lh.Yeo2011_17Networks_N1000.split_components.annot.ply,lh.Yeo2011_17Networks_N1000.split_components.annot
lh.white_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
lh.white_roi.0002.ply,17Networks_LH_VisCent_Striate
lh.white_roi.0003.ply,17Networks_LH_VisCent_ExStr
lh.white_roi.0004.ply,17Networks_LH_VisPeri_Striate
lh.white_roi.0005.ply,17Networks_LH_VisPeri_ExStrInf
lh.white_roi.0006.ply,17Networks_LH_VisPeri_ExStrSup
lh.white_roi.0007.ply,17Networks_LH_SomMotA
lh.white_roi.0008.ply,17Networks_LH_SomMotB_Cent
lh.white_roi.0009.ply,17Networks_LH_SomMotB_S2
lh.white_roi.0010.ply,17Networks_LH_SomMotB_Ins
lh.white_roi.0011.ply,17Networks_LH_SomMotB_Aud
lh.white_roi.0012.ply,17Networks_LH_DorsAttnA_TempOcc
lh.white_roi.0013.ply,17Networks_LH_DorsAttnA_ParOcc
lh.white_roi.0014.ply,17Networks_LH_DorsAttnA_SPL
lh.white_roi.0015.ply,17Networks_LH_DorsAttnB_TempOcc
lh.white_roi.0016.ply,17Networks_LH_DorsAttnB_PostC
lh.white_roi.0017.ply,17Networks_LH_DorsAttnB_FEF
lh.white_roi.0018.ply,17Networks_LH_DorsAttnB_PrCv
lh.white_roi.0019.ply,17Networks_LH_SalVentAttnA_ParOper
lh.white_roi.0020.ply,17Networks_LH_SalVentAttnA_PrCv
lh.white_roi.0021.ply,17Networks_LH_SalVentAttnA_Ins
lh.white_roi.0022.ply,17Networks_LH_SalVentAttnA_ParMed
lh.white_roi.0023.ply,17Networks_LH_SalVentAttnA_FrMed
lh.white_roi.0024.ply,17Networks_LH_SalVentAttnB_IPL
lh.white_roi.0025.ply,17Networks_LH_SalVentAttnB_PFCd
lh.white_roi.0026.ply,17Networks_LH_SalVentAttnB_PFCl
lh.white_roi.0027.ply,17Networks_LH_SalVentAttnB_PFCv
lh.white_roi.0028.ply,17Networks_LH_SalVentAttnB_OFC
lh.white_roi.0029.ply,17Networks_LH_SalVentAttnB_PFCmp
lh.white_roi.0030.ply,17Networks_LH_Limbic_TempPole
lh.white_roi.0031.ply,17Networks_LH_Limbic_OFC
lh.white_roi.0032.ply,17Networks_LH_ContA_Temp
lh.white_roi.0033.ply,17Networks_LH_ContA_IPS
lh.white_roi.0034.ply,17Networks_LH_ContA_PFCd
lh.white_roi.0035.ply,17Networks_LH_ContA_PFCl
lh.white_roi.0036.ply,17Networks_LH_ContA_PFClv
lh.white_roi.0037.ply,17Networks_LH_ContA_Cinga
lh.white_roi.0038.ply,17Networks_LH_ContB_Temp
lh.white_roi.0039.ply,17Networks_LH_ContB_IPL
lh.white_roi.0040.ply,17Networks_LH_ContB_PFCd
lh.white_roi.0041.ply,17Networks_LH_ContB_PFCl
lh.white_roi.0042.ply,17Networks_LH_ContB_PFClv
lh.white_roi.0043.ply,17Networks_LH_ContB_PFCmp
lh.white_roi.0044.ply,17Networks_LH_ContC_pCun
lh.white_roi.0045.ply,17Networks_LH_ContC_Cingp
lh.white_roi.0046.ply,17Networks_LH_DefaultA_IPL
lh.white_roi.0047.ply,17Networks_LH_DefaultA_PFCd
lh.white_roi.0048.ply,17Networks_LH_DefaultA_PCC
lh.white_roi.0049.ply,17Networks_LH_DefaultA_PFCm
lh.white_roi.0050.ply,17Networks_LH_DefaultB_Temp
lh.white_roi.0051.ply,17Networks_LH_DefaultB_IPL
lh.white_roi.0052.ply,17Networks_LH_DefaultB_PFCd
lh.white_roi.0053.ply,17Networks_LH_DefaultB_PFCl
lh.white_roi.0054.ply,17Networks_LH_DefaultB_PFCv
lh.white_roi.0055.ply,17Networks_LH_DefaultC_IPL
lh.white_roi.0056.ply,17Networks_LH_DefaultC_Rsp
lh.white_roi.0057.ply,17Networks_LH_DefaultC_PHC
lh.white_roi.0058.ply,17Networks_LH_TempPar
