filename,annot
rh.inflated_roi.0164.ply,17Networks_RH_DefaultA_PCC_1
rh.inflated_roi.0165.ply,17Networks_RH_DefaultA_PCC_2
rh.inflated_roi.0166.ply,17Networks_RH_DefaultA_PCC_3
rh.inflated_roi.0167.ply,17Networks_RH_DefaultA_PCC_4
rh.inflated_roi.0168.ply,17Networks_RH_DefaultA_PCC_5
rh.inflated_roi.0169.ply,17Networks_RH_DefaultA_PFCm_1
rh.inflated_roi.0170.ply,17Networks_RH_DefaultA_PFCm_2
rh.inflated_roi.0171.ply,17Networks_RH_DefaultA_PFCm_3
rh.inflated_roi.0172.ply,17Networks_RH_DefaultA_PFCm_4
rh.inflated_roi.0173.ply,17Networks_RH_DefaultA_PFCm_5
rh.inflated_roi.0174.ply,17Networks_RH_DefaultA_PFCm_6
rh.inflated_roi.0175.ply,17Networks_RH_DefaultB_Temp_1
rh.inflated_roi.0176.ply,17Networks_RH_DefaultB_Temp_2
rh.inflated_roi.0177.ply,17Networks_RH_DefaultB_AntTemp_1
rh.inflated_roi.0178.ply,17Networks_RH_DefaultB_PFCd_1
rh.inflated_roi.0179.ply,17Networks_RH_DefaultB_PFCd_2
rh.inflated_roi.0180.ply,17Networks_RH_DefaultB_PFCd_3
rh.inflated_roi.0181.ply,17Networks_RH_DefaultB_PFCd_4
rh.inflated_roi.0182.ply,17Networks_RH_DefaultB_PFCd_5
rh.inflated_roi.0183.ply,17Networks_RH_DefaultB_PFCv_1
rh.inflated_roi.0184.ply,17Networks_RH_DefaultB_PFCv_2
rh.inflated_roi.0185.ply,17Networks_RH_DefaultB_PFCv_3
rh.inflated_roi.0186.ply,17Networks_RH_DefaultC_IPL_1
rh.inflated_roi.0187.ply,17Networks_RH_DefaultC_IPL_2
rh.inflated_roi.0188.ply,17Networks_RH_DefaultC_Rsp_1
rh.inflated_roi.0189.ply,17Networks_RH_DefaultC_Rsp_2
rh.inflated_roi.0190.ply,17Networks_RH_DefaultC_PHC_1
rh.inflated_roi.0191.ply,17Networks_RH_DefaultC_PHC_2
rh.inflated_roi.0192.ply,17Networks_RH_TempPar_1
rh.inflated_roi.0193.ply,17Networks_RH_TempPar_2
rh.inflated_roi.0194.ply,17Networks_RH_TempPar_3
rh.inflated_roi.0195.ply,17Networks_RH_TempPar_4
rh.inflated_roi.0196.ply,17Networks_RH_TempPar_5
rh.inflated_roi.0197.ply,17Networks_RH_TempPar_6
rh.inflated_roi.0198.ply,17Networks_RH_TempPar_7
rh.inflated_roi.0199.ply,17Networks_RH_TempPar_8
rh.inflated_roi.0200.ply,17Networks_RH_TempPar_9
rh.inflated_roi.0201.ply,17Networks_RH_TempPar_10
