filename,annot
rh.Yeo2011_7Networks_N1000.split_components.annot.ply,rh.Yeo2011_7Networks_N1000.split_components.annot
rh.white_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
rh.white_roi.0002.ply,7Networks_RH_Vis
rh.white_roi.0003.ply,7Networks_RH_SomMot
rh.white_roi.0004.ply,7Networks_RH_DorsAttn_Post
rh.white_roi.0005.ply,7Networks_RH_DorsAttn_FEF
rh.white_roi.0006.ply,7Networks_RH_DorsAttn_PrCv
rh.white_roi.0007.ply,7Networks_RH_SalVentAttn_TempOccPar
rh.white_roi.0008.ply,7Networks_RH_SalVentAttn_PrC
rh.white_roi.0009.ply,7Networks_RH_SalVentAttn_FrOper
rh.white_roi.0010.ply,7Networks_RH_SalVentAttn_PFCv
rh.white_roi.0011.ply,7Networks_RH_SalVentAttn_PFCl
rh.white_roi.0012.ply,7Networks_RH_SalVentAttn_Med
rh.white_roi.0013.ply,7Networks_RH_Limbic_OFC
rh.white_roi.0014.ply,7Networks_RH_Limbic_TempPole
rh.white_roi.0015.ply,7Networks_RH_Cont_Par
rh.white_roi.0016.ply,7Networks_RH_Cont_Temp
rh.white_roi.0017.ply,7Networks_RH_Cont_PFCv
rh.white_roi.0018.ply,7Networks_RH_Cont_PFCl
rh.white_roi.0019.ply,7Networks_RH_Cont_pCun
rh.white_roi.0020.ply,7Networks_RH_Cont_Cing
rh.white_roi.0021.ply,7Networks_RH_Cont_PFCmp
rh.white_roi.0022.ply,7Networks_RH_Default_Par
rh.white_roi.0023.ply,7Networks_RH_Default_Temp
rh.white_roi.0024.ply,7Networks_RH_Default_PFCv
rh.white_roi.0025.ply,7Networks_RH_Default_PFCm
rh.white_roi.0026.ply,7Networks_RH_Default_PCC
