filename,annot
rh.LCBC_roi.0119.ply,R_PreS_ROI
rh.LCBC_roi.0120.ply,R_H_ROI
rh.LCBC_roi.0121.ply,R_ProS_ROI
rh.LCBC_roi.0122.ply,R_PeEc_ROI
rh.LCBC_roi.0123.ply,R_STGa_ROI
rh.LCBC_roi.0124.ply,R_PBelt_ROI
rh.LCBC_roi.0125.ply,R_A5_ROI
rh.LCBC_roi.0126.ply,R_PHA1_ROI
rh.LCBC_roi.0127.ply,R_PHA3_ROI
rh.LCBC_roi.0128.ply,R_STSda_ROI
rh.LCBC_roi.0129.ply,R_STSdp_ROI
rh.LCBC_roi.0130.ply,R_STSvp_ROI
rh.LCBC_roi.0131.ply,R_TGd_ROI
rh.LCBC_roi.0132.ply,R_TE1a_ROI
rh.LCBC_roi.0133.ply,R_TE1p_ROI
rh.LCBC_roi.0134.ply,R_TE2a_ROI
rh.LCBC_roi.0135.ply,R_TF_ROI
rh.LCBC_roi.0136.ply,R_TE2p_ROI
rh.LCBC_roi.0137.ply,R_PHT_ROI
rh.LCBC_roi.0138.ply,R_PH_ROI
rh.LCBC_roi.0139.ply,R_TPOJ1_ROI
rh.LCBC_roi.0140.ply,R_TPOJ2_ROI
rh.LCBC_roi.0141.ply,R_TPOJ3_ROI
rh.LCBC_roi.0142.ply,R_DVT_ROI
rh.LCBC_roi.0143.ply,R_PGp_ROI
rh.LCBC_roi.0144.ply,R_IP2_ROI
rh.LCBC_roi.0145.ply,R_IP1_ROI
rh.LCBC_roi.0146.ply,R_IP0_ROI
rh.LCBC_roi.0147.ply,R_PFop_ROI
rh.LCBC_roi.0148.ply,R_PF_ROI
rh.LCBC_roi.0149.ply,R_PFm_ROI
rh.LCBC_roi.0150.ply,R_PGi_ROI
rh.LCBC_roi.0151.ply,R_PGs_ROI
rh.LCBC_roi.0152.ply,R_V6A_ROI
rh.LCBC_roi.0153.ply,R_VMV1_ROI
rh.LCBC_roi.0154.ply,R_VMV3_ROI
rh.LCBC_roi.0155.ply,R_PHA2_ROI
rh.LCBC_roi.0156.ply,R_V4t_ROI
rh.LCBC_roi.0157.ply,R_FST_ROI
rh.LCBC_roi.0158.ply,R_V3CD_ROI
rh.LCBC_roi.0159.ply,R_LO3_ROI
rh.LCBC_roi.0160.ply,R_VMV2_ROI
rh.LCBC_roi.0161.ply,R_31pd_ROI
rh.LCBC_roi.0162.ply,R_31a_ROI
rh.LCBC_roi.0163.ply,R_VVC_ROI
rh.LCBC_roi.0164.ply,R_25_ROI
rh.LCBC_roi.0165.ply,R_s32_ROI
rh.LCBC_roi.0166.ply,R_pOFC_ROI
rh.LCBC_roi.0167.ply,R_PoI1_ROI
rh.LCBC_roi.0168.ply,R_Ig_ROI
rh.LCBC_roi.0169.ply,R_FOP5_ROI
rh.LCBC_roi.0170.ply,R_p10p_ROI
rh.LCBC_roi.0171.ply,R_p47r_ROI
rh.LCBC_roi.0172.ply,R_TGv_ROI
rh.LCBC_roi.0173.ply,R_MBelt_ROI
rh.LCBC_roi.0174.ply,R_LBelt_ROI
rh.LCBC_roi.0175.ply,R_A4_ROI
rh.LCBC_roi.0176.ply,R_STSva_ROI
rh.LCBC_roi.0177.ply,R_TE1m_ROI
rh.LCBC_roi.0178.ply,R_PI_ROI
rh.LCBC_roi.0179.ply,R_a32pr_ROI
rh.LCBC_roi.0180.ply,R_p24_ROI
rh.LCBC_roi.0181.ply,???
