filename,annot
lh.Yeo2011_17Networks_N1000.split_components.annot.ply,lh.Yeo2011_17Networks_N1000.split_components.annot
lh.LCBC_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
lh.LCBC_roi.0002.ply,17Networks_LH_VisCent_Striate
lh.LCBC_roi.0003.ply,17Networks_LH_VisCent_ExStr
lh.LCBC_roi.0004.ply,17Networks_LH_VisPeri_Striate
lh.LCBC_roi.0005.ply,17Networks_LH_VisPeri_ExStrInf
lh.LCBC_roi.0006.ply,17Networks_LH_VisPeri_ExStrSup
lh.LCBC_roi.0007.ply,17Networks_LH_SomMotA
lh.LCBC_roi.0008.ply,17Networks_LH_SomMotB_Cent
lh.LCBC_roi.0009.ply,17Networks_LH_SomMotB_S2
lh.LCBC_roi.0010.ply,17Networks_LH_SomMotB_Ins
lh.LCBC_roi.0011.ply,17Networks_LH_SomMotB_Aud
lh.LCBC_roi.0012.ply,17Networks_LH_DorsAttnA_TempOcc
lh.LCBC_roi.0013.ply,17Networks_LH_DorsAttnA_ParOcc
lh.LCBC_roi.0014.ply,17Networks_LH_DorsAttnA_SPL
lh.LCBC_roi.0015.ply,17Networks_LH_DorsAttnB_TempOcc
lh.LCBC_roi.0016.ply,17Networks_LH_DorsAttnB_PostC
lh.LCBC_roi.0017.ply,17Networks_LH_DorsAttnB_FEF
lh.LCBC_roi.0018.ply,17Networks_LH_DorsAttnB_PrCv
lh.LCBC_roi.0019.ply,17Networks_LH_SalVentAttnA_ParOper
lh.LCBC_roi.0020.ply,17Networks_LH_SalVentAttnA_PrCv
lh.LCBC_roi.0021.ply,17Networks_LH_SalVentAttnA_Ins
lh.LCBC_roi.0022.ply,17Networks_LH_SalVentAttnA_ParMed
lh.LCBC_roi.0023.ply,17Networks_LH_SalVentAttnA_FrMed
lh.LCBC_roi.0024.ply,17Networks_LH_SalVentAttnB_IPL
lh.LCBC_roi.0025.ply,17Networks_LH_SalVentAttnB_PFCd
lh.LCBC_roi.0026.ply,17Networks_LH_SalVentAttnB_PFCl
lh.LCBC_roi.0027.ply,17Networks_LH_SalVentAttnB_PFCv
lh.LCBC_roi.0028.ply,17Networks_LH_SalVentAttnB_OFC
lh.LCBC_roi.0029.ply,17Networks_LH_SalVentAttnB_PFCmp
lh.LCBC_roi.0030.ply,17Networks_LH_Limbic_TempPole
lh.LCBC_roi.0031.ply,17Networks_LH_Limbic_OFC
lh.LCBC_roi.0032.ply,17Networks_LH_ContA_Temp
lh.LCBC_roi.0033.ply,17Networks_LH_ContA_IPS
lh.LCBC_roi.0034.ply,17Networks_LH_ContA_PFCd
lh.LCBC_roi.0035.ply,17Networks_LH_ContA_PFCl
lh.LCBC_roi.0036.ply,17Networks_LH_ContA_PFClv
lh.LCBC_roi.0037.ply,17Networks_LH_ContA_Cinga
lh.LCBC_roi.0038.ply,17Networks_LH_ContB_Temp
lh.LCBC_roi.0039.ply,17Networks_LH_ContB_IPL
lh.LCBC_roi.0040.ply,17Networks_LH_ContB_PFCd
lh.LCBC_roi.0041.ply,17Networks_LH_ContB_PFCl
lh.LCBC_roi.0042.ply,17Networks_LH_ContB_PFClv
lh.LCBC_roi.0043.ply,17Networks_LH_ContB_PFCmp
lh.LCBC_roi.0044.ply,17Networks_LH_ContC_pCun
lh.LCBC_roi.0045.ply,17Networks_LH_ContC_Cingp
lh.LCBC_roi.0046.ply,17Networks_LH_DefaultA_IPL
lh.LCBC_roi.0047.ply,17Networks_LH_DefaultA_PFCd
lh.LCBC_roi.0048.ply,17Networks_LH_DefaultA_PCC
lh.LCBC_roi.0049.ply,17Networks_LH_DefaultA_PFCm
lh.LCBC_roi.0050.ply,17Networks_LH_DefaultB_Temp
lh.LCBC_roi.0051.ply,17Networks_LH_DefaultB_IPL
lh.LCBC_roi.0052.ply,17Networks_LH_DefaultB_PFCd
lh.LCBC_roi.0053.ply,17Networks_LH_DefaultB_PFCl
lh.LCBC_roi.0054.ply,17Networks_LH_DefaultB_PFCv
lh.LCBC_roi.0055.ply,17Networks_LH_DefaultC_IPL
lh.LCBC_roi.0056.ply,17Networks_LH_DefaultC_Rsp
lh.LCBC_roi.0057.ply,17Networks_LH_DefaultC_PHC
lh.LCBC_roi.0058.ply,17Networks_LH_TempPar
