"","filename","annot","hemi","region","R","G","B","A"
"67","lh.white_roi.0066.ply","S_parieto_occipital","lh","S_parieto_occipital",101,100,180,0
"68","lh.white_roi.0067.ply","S_pericallosal","lh","S_pericallosal",181,220,20,0
"69","lh.white_roi.0068.ply","S_postcentral","lh","S_postcentral",21,140,200,0
"70","lh.white_roi.0069.ply","S_precentral-inf-part","lh","S_precentral-inf-part",21,20,240,0
"71","lh.white_roi.0070.ply","S_precentral-sup-part","lh","S_precentral-sup-part",21,20,200,0
"72","lh.white_roi.0071.ply","S_suborbital","lh","S_suborbital",21,20,60,0
"73","lh.white_roi.0072.ply","S_subparietal","lh","S_subparietal",101,60,60,0
"74","lh.white_roi.0073.ply","S_temporal_inf","lh","S_temporal_inf",21,180,180,0
"75","lh.white_roi.0074.ply","S_temporal_sup","lh","S_temporal_sup",223,220,60,0
"76","lh.white_roi.0075.ply","S_temporal_transverse","lh","S_temporal_transverse",221,60,60,0
